title,genres,item
Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,1215
"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller,1221
"Bridge on the River Kwai, The (1957)",Adventure|Drama|War,1222
"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller,1225
Duck Soup (1933),Comedy|Musical|War,1228
Pump Up the Volume (1990),Comedy|Drama,1240
Highlander (1986),Action|Adventure|Fantasy,1247
Young Frankenstein (1974),Comedy|Fantasy,1250
Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama,1252
Somewhere in Time (1980),Drama|Romance,1258
Gandhi (1982),Drama,1265
"Killing Fields, The (1984)",Drama|War,1270
Butch Cassidy and the Sundance Kid (1969),Action|Western,1275
Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller,1291
"Omen, The (1976)",Horror|Mystery|Thriller,1320
Die Hard 2 (1990),Action|Adventure|Thriller,1339
Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller,1343
Ghosts of Mississippi (1996),Drama,1370
Grateful Dead (1995),Documentary,1387
Fierce Creatures (1997),Comedy,1391
Turbulence (1997),Action|Thriller,1393
Amos & Andrew (1993),Comedy,1405
Prefontaine (1997),Drama,1407
"Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti) (1997)",Comedy|Romance,1466
Fathers' Day (1997),Comedy,1479
Trial and Error (1997),Comedy|Romance,1500
MURDER and murder (1996),Crime|Drama|Mystery,1517
For Ever Mozart (1996),Drama,1527
Career Girls (1997),Drama,1544
Money Talks (1997),Action|Comedy,1552
U Turn (1997),Crime|Drama|Mystery,1573
"Ice Storm, The (1997)",Drama,1580
Bean (1997),Comedy,1608
Witness (1985),Drama|Romance|Thriller,1617
"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,1625
"Butcher Boy, The (1997)",Comedy|Drama,1641
Good Will Hunting (1997),Drama|Romance,1645
Mouse Hunt (1997),Children|Comedy,1653
Vermin (1998),Comedy,1676
Senseless (1998),Comedy,1682
Shooting Fish (1997),Comedy|Romance,1690
Tokyo Fist (Tokyo ken) (1995),Action|Drama,1704
Love and Death on Long Island (1997),Comedy|Drama,1721
Wild Things (1998),Crime|Drama|Mystery|Thriller,1729
Chinese Box (1997),Drama|Romance,1748
"Last Emperor, The (1987)",Drama,1876
Poltergeist III (1988),Horror|Thriller,1912
Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,1917
Polish Wedding (1998),Comedy,1923
"Cat from Outer Space, The (1978)",Children|Comedy|Sci-Fi,1954
"Far Off Place, A (1993)",Adventure|Children|Drama|Romance,1961
Newsies (1992),Children|Musical,2000
101 Dalmatians (One Hundred and One Dalmatians) (1961),Adventure|Animation|Children,2001
Peter Pan (1953),Animation|Children|Fantasy|Musical,2003
"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama,2006
"Shaggy D.A., The (1976)",Children|Comedy,2011
Sleeping Beauty (1959),Animation|Children|Musical,2012
Tall Tale (1995),Adventure|Children|Fantasy|Western,2019
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),Horror|Thriller,2023
Grand Canyon (1991),Crime|Drama,2028
Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy,2054
I Married A Strange Person! (1997),Animation|Comedy|Fantasy|Sci-Fi,2105
Phoenix (1998),Crime|Drama,2115
Downhill (1927),Drama,2140
"Ring, The (1927)",Drama,2142
Hero (1992),Comedy|Drama,2167
Blame It on Rio (1984),Comedy|Romance,2174
Ronin (1998),Action|Crime|Thriller,2193
Urban Legend (1998),Horror|Thriller,2194
"View to a Kill, A (1985)",Action|Adventure|Thriller,2291
Romancing the Stone (1984),Action|Adventure|Comedy|Romance,2321
Rocky II (1979),Action|Drama,2324
Outside Ozona (1998),Comedy|Drama|Thriller,2353
Another Day in Paradise (1998),Drama,2355
My Name Is Joe (1998),Drama|Romance,2396
Baby Geniuses (1999),Comedy,2470
Chopping Mall (a.k.a. Killbots) (1986),Action|Horror|Sci-Fi,2529
"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,2571
Broken Vessels (1998),Drama,2617
"Wood, The (1999)",Drama,2628
Frances (1982),Drama,2671
"Yards, The (2000)",Crime|Drama,2683
Never Talk to Strangers (1995),Crime|Drama|Romance|Thriller,2692
Tales of Terror (1962),Horror,2699
Haunted Honeymoon (1986),Comedy,2700
Cat's Eye (1985),Horror,2701
Airplane II: The Sequel (1982),Comedy,2706
Funny Farm (1988),Comedy,2710
Tequila Sunrise (1988),Action|Drama|Romance|Thriller,2716
"Very Thought of You, The (1998)",Comedy|Romance,2748
"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",Drama,2762
I Saw What You Did (1965),Thriller,2770
Mumford (1999),Comedy|Drama,2797
"Dirty Dozen, The (1967)",Action|Drama|War,2858
Bringing Out the Dead (1999),Drama,2890
My Best Fiend (Mein liebster Feind) (1999),Documentary,2916
Robin Hood (1973),Adventure|Animation|Children|Comedy|Musical,2947
"Incredibly True Adventure of Two Girls in Love, The (1995)",Comedy|Romance,2959
Felicia's Journey (1999),Thriller,2968
Moonstruck (1987),Comedy|Romance,2985
Jeremiah Johnson (1972),Western,2987
Home Page (1999),Documentary,2997
"Distinguished Gentleman, The (1992)",Comedy,3033
Tarzan the Fearless (1933),Action|Adventure,3052
Easy Rider (1969),Adventure|Drama,3081
Train Ride to Hollywood (1975),Comedy|Fantasy|Musical,3147
Twin Peaks: Fire Walk with Me (1992),Crime|Drama|Mystery|Thriller,3175
Bride of the Monster (1955),Horror|Sci-Fi,3253
"Ninth Gate, The (1999)",Fantasy|Horror|Mystery|Thriller,3268
"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western,3418
Sacco and Vanzetti (Sacco e Vanzetti) (1971),Drama,3432
Taffin (1988),Action|Thriller,3433
Small Time Crooks (2000),Comedy|Crime,3527
Stay Tuned (1992),Comedy,3578
Clara's Heart (1988),Drama,3623
Steel Magnolias (1989),Drama,3751
Easy Money (1983),Comedy,3753
Steal This Movie! (2000),Drama,3793
102 Dalmatians (2000),Children|Comedy,3897
"Alamo, The (1960)",Action|Drama|War|Western,3948
Dog Run (1996),Drama,3977
"Big Town, The (1987)",Drama|Romance|Thriller,3994
"Brave Little Toaster, The (1987)",Animation|Children,3996
Hollywood Shuffle (1987),Comedy,4022
Innerspace (1987),Action|Adventure|Comedy|Sci-Fi,4027
City Slickers (1991),Comedy|Western,4226
Donovan's Reef (1963),Action|Comedy|Romance,4306
Kickboxer (1989),Action,4519
Honky Tonk Freeway (1981),Comedy,4993
"Harder They Come, The (1973)",Action|Crime|Drama,5952
Belle époque (1992),Comedy|Romance,6333
From Justin to Kelly (2003),Musical|Romance,6373
S.W.A.T. (2003),Action|Thriller,6485
Tunes of Glory (1960),Drama,6539
Ash Wednesday (2002),Crime|Drama,6541
10 (1979),Comedy|Romance,6548
"Red Shoes, The (1948)",Drama|Fantasy|Musical|Romance,6550
War and Peace (Jang Aur Aman) (2001),Documentary|War,6564
Bollywood/Hollywood (2002),Comedy|Drama|Musical|Romance,6586
Civil Brand (2002),Drama,6587
"Order, The (2003)",Horror|Mystery|Thriller,6593
Sgt. Pepper's Lonely Hearts Club Band (1978),Adventure|Musical,6615
Boyz N the Hood (1991),Crime|Drama,6686
"Rage in Harlem, A (1991)",Crime,6709
More American Graffiti (1979),Comedy,6711
School of Rock (2003),Comedy|Musical,6753
"Concert for George, The (2003)",Documentary|Musical,6754
"Tale of Two Cities, A (1935)",Drama,6872
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",Adventure|Drama,6951
"Dreamers, The (2003)",Drama,7153
Secret Window (2004),Mystery|Thriller,7235
Scenes From a Marriage (Scener ur ett äktenskap) (1973),Drama,7284
